Item,Recipe,Power,Items,Buildings,Resources,Buildings Scaled,Resources Scaled,Bauxite,Nitrogen Gas,SAM,Limestone,Crude Oil,Caterium Ore,Coal,Raw Quartz,Sulfur,Water,Uranium,Copper Ore,Iron Ore
FICSMAS Wonder Star,FICSMAS Wonder Star,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
FICSMAS Decoration,FICSMAS Decoration,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
FICSMAS Ornament Bundle,FICSMAS Ornament Bundle,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Red FICSMAS Ornament,Red FICSMAS Ornament,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Blue FICSMAS Ornament,Blue FICSMAS Ornament,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Copper FICSMAS Ornament,Copper FICSMAS Ornament,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Iron FICSMAS Ornament,Iron FICSMAS Ornament,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Actual Snow,Actual Snow,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
FICSMAS Tree Branch,FICSMAS Tree Branch,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
FICSMAS Bow,FICSMAS Bow,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Candy Cane,Candy Cane,71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Power (Other),Coal-Powered Generator (Coal),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Power (Other),Coal-Powered Generator (Compacted Coal),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Power (Other),Coal-Powered Generator (Petroleum Coke),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Power (Other),Biomass Burner (Leaves),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Power (Other),Biomass Burner (Wood),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Power (Other),Biomass Burner (Mycelia),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Power (Other),Biomass Burner (Biomass),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Power (Other),Biomass Burner (Solid Biofuel),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Power (Other),Biomass Burner (Packaged Liquid Biofuel),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Power (Fuel),Fuel-Powered Generator (Fuel),74465.4,87945.5,1104.1,36431.3,1123.7,35390.4,2445.0,888.6,635.7,898.5,3735.2,876.4,54.2,1141.8,445.0,10649.0,174.1,6861.6,7626.1
Power (Fuel),Fuel-Powered Generator (Turbofuel),73683.1,84069.0,1092.9,34092.7,1156.9,35535.6,2444.5,892.8,635.7,897.5,3473.6,873.2,74.7,1139.8,1016.2,7985.5,172.8,6861.3,7625.0
Power (Fuel),Fuel-Powered Generator (Liquid Biofuel),72512.5,97223.6,1161.8,34430.2,1123.8,32838.4,2443.7,883.9,635.7,898.0,2722.9,870.0,54.2,1141.0,440.5,9605.7,170.9,6862.5,7701.1
Power (Fuel),Fuel-Powered Generator (Rocket Fuel),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Power (Fuel),Fuel-Powered Generator (Ionized Fuel),87710.2,86366.4,1145.4,35833.3,1202.2,37773.3,2454.0,1160.5,635.7,916.2,3791.2,929.1,152.9,1683.3,672.3,8738.7,196.2,6865.5,7637.8
Power (Nuclear),Nuclear Power Plant (Uranium Fuel Rod),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Uranium Waste,Nuclear Power Plant (Uranium Fuel Rod),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
Plutonium Waste,Nuclear Power Plant (Plutonium Fuel Rod),71358.5,81287.1,1042.6,33376.3,1071.5,34180.5,2442.9,1163.6,635.7,894.4,2930.0,864.0,202.9,1133.9,735.2,7718.4,168.9,6861.2,7625.2
